system,model,weight_gb,bytes_streamed_gb_per_token,memory_gb,fits,bandwidth_gbs,efficiency,roofline_tok_s,estimated_tok_s,power_w,estimated_tok_s_per_w,context,notes
Dell Pro Max GB10,Qwen3.6-27B Q4,17.5,17.5,128.0,True,273.0,0.7,15.6,10.92,280.0,0.039,denso; pesos atravessados por token,sistema completo/adaptador; memória unificada
2x RTX 5090,Qwen3.6-27B Q4,17.5,17.5,64.0,True,3584.0,0.62,204.8,126.976,1400.0,0.09069714285714285,denso; pesos atravessados por token,GPU TGP agregado + 250 W estimados para CPU/placa/SSD/ventoinhas
Dell Pro Max GB10,Llama 3.1 70B Q4,42.0,42.0,128.0,True,273.0,0.7,6.5,4.55,280.0,0.01625,denso; pesos atravessados por token,sistema completo/adaptador; memória unificada
2x RTX 5090,Llama 3.1 70B Q4,42.0,42.0,64.0,True,3584.0,0.62,85.33333333333333,52.906666666666666,1400.0,0.03779047619047619,denso; pesos atravessados por token,GPU TGP agregado + 250 W estimados para CPU/placa/SSD/ventoinhas
Dell Pro Max GB10,Qwen3-Coder-Next 80B/3B Q4,45.0,6.0,128.0,True,273.0,0.7,45.5,31.849999999999998,280.0,0.11374999999999999,MoE; aproximação de pesos compartilhados + experts ativos,sistema completo/adaptador; memória unificada
2x RTX 5090,Qwen3-Coder-Next 80B/3B Q4,45.0,6.0,64.0,True,3584.0,0.62,597.3333333333334,370.3466666666667,1400.0,0.26453333333333334,MoE; aproximação de pesos compartilhados + experts ativos,GPU TGP agregado + 250 W estimados para CPU/placa/SSD/ventoinhas
